display_value の SUM,,,,main_department_sort_order,main_department,secondary_department_sort_order,secondary_department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,
,,,,東京支店,,,,,,,,,,,,,,,,長崎支店,,,,,,,,,,,福岡支店,,,,,,,,,,,
,,,,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,99,100,101,102,103,104,105,106,107,108,109,199,100,101,102,103,104,105,106,107,108,109,110,199
main_category_sort_order,main_category,secondary_category_sort_order,secondary_category,東京支店計,工事営業部計,佐々木（大成・鹿島他）,浅井（清水他）,小笠原（三井住友他）,高石（内装・リニューアル）,ガラス工事計,山本（改装）,硝子建材営業部計,硝子工事,ビルサッシ,硝子販売,サッシ販売,サッシ完成品,その他,未分類,長崎支店計,工事営業部計,ガラス工事,ビルサッシ,硝子建材営業部計,硝子工事,サッシ工事,硝子販売,サッシ販売,完成品(その他),未分類,福岡支店計,工事部計,硝子工事,ビルサッシ,内装工事,硝子樹脂計,硝子,建材,樹脂,GSセンター,福北センター,未分類
1,売上高,1,前年実績(千円),553651,411171,56916,97392,141262,9185,304755,106416,142480,28124,10467,14600,5298,63541,20450,0,149328,37343,15718,21625,111985,16324,10257,9524,16421,59459,0,331703,168665,113626,38816,16222,150341,53604,76548,20190,4699,7998,0
,,2,本年目標(千円),404707,267997,40580,49280,40465,10850,141175,126822,136710,24000,13700,18800,5050,47910,27250,0,140983,40983,19483,21500,100000,15000,5000,7000,16000,57000,0,303361,146600,118600,10000,18000,143863,53500,75363,15000,4500,8398,0
,,3,本年実績(千円),428029,296282,23518,69641,56946,13956,164061,132221,131747,17537,7945,23888,6323,43397,32657,0,149076,49616,23551,26065,99460,9222,9858,5258,20481,54641,0,286800,160917,138748,7245,14924,113545,45574,52319,15652,3782,8556,0
,,4,前年比(%),0.7731024433,0.7205804627,0.4132008561,0.7150561201,0.4031243087,1.519528081,0.5383371355,1.242492642,0.9246713381,0.6235787823,0.7589843142,1.636178624,1.193434355,0.6829715212,1.596963424,0,0.9983124079,1.3286554,1.498346493,1.20531777,0.8881552535,0.5649217963,0.9611231628,0.552105027,1.247245605,0.9189665282,0,0.8646276958,0.9540626681,1.221091713,0.186650316,0.9199286792,0.7552492573,0.8502074882,0.6834732735,0.7752715543,0.8048520962,1.069739327,0
,,5,目標比(%),1.057625937,1.105540887,0.5795448497,1.413162987,1.40729675,1.286283041,1.16211111,1.042568364,0.963696723,0.730729,0.5798978102,1.270648138,1.25207901,0.9057925694,1.198428514,0,1.057400885,1.210640534,1.208783247,1.212323581,0.99459868,0.6147870667,1.9716,0.7511922857,1.280073188,0.9586060526,0,0.9454073925,1.097658452,1.169883718,0.7245,0.8290844444,0.7892597541,0.8518528224,0.6942238366,1.0434906,0.8404444444,1.018781496,0
2,売上総利益,1,前年実績(千円),63680,36654,4174,9432,11270,3360,28236,8418,27026,5432,2355,2880,1259,10686,4414,0,33475,3418,429,2988,30058,5251,821,4024,3220,16742,0,60656,20315,11664,1932,6720,31338,10771,15999,4568,1289,7714,0
,,2,本年目標(千円),75121,46008,5559,6105,17680,3600,32944,13064,29113,5760,2835,3105,1180,9055,6378,0,42670,8670,4800,3870,34000,7200,1400,3200,3200,19000,0,67350,25595,19595,500,5500,32641,11500,18141,3000,1000,8114,0
,,3,本年実績(千円),74800,48068,1882,7402,19559,4340,33184,14884,26732,4923,1751,3766,2254,6612,7426,0,45019,11569,5602,5967,33451,7725,2218,2573,3780,17156,0,58328,21026,15698,555,4773,28685,10987,14900,2798,577,8040,0
